NAME	TITLE	SCORE	
RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]	1.374374	
TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	1.3733432	
COX8A	cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]	1.3722506	
ANP32B	acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]	1.3660465	
ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	1.3652537	
YBX3	Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428]	1.3606333	
TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	1.3566651	
HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	1.3531988	
RILPL2	Rab interacting lysosomal protein like 2 [Source:HGNC Symbol;Acc:HGNC:28787]	1.3468349	
GMNN	geminin DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:17493]	1.3440881	
TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	1.340373	
CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	1.3329681	
CLSPN	claspin [Source:HGNC Symbol;Acc:HGNC:19715]	1.3293949	
CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	1.3293808	
BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	1.325784	
CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	1.3153583	
RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	1.3126262	
SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	1.3099774	
CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	1.3079389	
SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	1.3040638	
SEC11C	SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]	1.3004249	
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	1.2986964	
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	1.2980549	
NEIL3	nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]	1.2874274	
IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	1.2861586	
KIF15	kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]	1.2853742	
CENPP	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]	1.2739064	
SLBP	stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	1.2721492	
RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	1.2697936	
DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	1.2648975	
