NAME	TITLE	SCORE	
VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	1.0496566	
CYTH4	cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]	1.0481642	
MED13	mediator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:22474]	1.0421115	
RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	1.0403284	
CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	1.0391116	
CWC25	CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989]	1.0356591	
TBX21	T-box transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11599]	1.0343713	
SH2D2A	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]	1.0302892	
ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]	1.0283989	
SIK3	SIK family kinase 3 [Source:HGNC Symbol;Acc:HGNC:29165]	1.0253371	
LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	1.025186	
P2RX7	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	1.0210493	
GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	1.0201957	
RIC1	RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]	1.0179375	
NUP98	nucleoporin 98 and 96 precursor [Source:HGNC Symbol;Acc:HGNC:8068]	1.0147139	
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	1.0130818	
NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1.011856	
COX8A	cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]	1.0107538	
ZBTB1	zinc finger and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20259]	1.0082686	
COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	1.0061169	
CMIP	c-Maf inducing protein [Source:HGNC Symbol;Acc:HGNC:24319]	1.0059042	
CHP1	calcineurin like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]	1.0038043	
SH3BGRL3	SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]	1.0020874	
IRF2BP2	interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21729]	1.0014997	
TOB2	transducer of ERBB2, 2 [Source:HGNC Symbol;Acc:HGNC:11980]	0.9943401	
MMD	monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153]	0.9881977	
H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	0.9841741	
STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	0.9840342	
COX6C	cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]	0.9827883	
UBL5	ubiquitin like 5 [Source:HGNC Symbol;Acc:HGNC:13736]	0.9821059	
